UTC_time,Latitude,Longitude,Altitude_km,Spotbeam_Area_km2
2025-10-05 10:22:47,-77.092737,-176.440189,1044.83,241871885.58
2025-10-05 11:54:11,-53.147739,46.702853,977.81,205984202.37
2025-10-05 11:54:36,-54.535247,47.341095,980.59,205984202.37
2025-10-05 11:55:02,-55.916597,48.030908,983.36,205984202.37
2025-10-05 11:55:27,-57.291189,48.778647,986.10,205984202.37
2025-10-05 11:55:53,-58.658320,49.591681,988.83,205984202.37
